sensor_index,last_modified,date_created,last_seen,location_type,rssi,uptime,latency,altitude,NAME,geometry,
5424,1519493304,1513284182,1708525402,0,-60,499.03,295,5,"New Orleans-Metairie, LA",c(-90.21977, 29.965136)
5582,1660166545,1514335701,1708525437,0,-66,732.5,310,899,"Minneapolis-St. Paul-Bloomington, MN-WI",c(-93.34291, 44.891655)
5644,1515184103,1514501939,1708525478,0,-75,144.43,341,996,"Minneapolis-St. Paul-Bloomington, MN-WI",c(-93.66004, 44.967793)
5656,1554775219,1514502681,1708525388,0,-56,820.58,257,3874,"Rapid City, SD",c(-103.294876, 44.03928)
5712,1689630233,1514924242,1708525447,1,-64,31.03,261,793,"Fort Wayne, IN",c(-84.92992, 41.194298)
5794,1524935125,1514938792,1708525479,0,-71,20.43,308,1073,"Pittsburgh, PA",c(-79.730835, 40.66758)
5872,1581171331,1515703370,1708525473,0,-40,204.35,320,551,"Durham-Chapel Hill, NC",c(-79.34686, 35.66268)
5944,1516996883,1515718582,1708525397,0,-64,153.32,251,1128,"Pittsburgh, PA",c(-80.189766, 40.245033)
6008,1663772835,1515786225,1708525374,0,-74,481.12,307,939,"Winston-Salem, NC",c(-80.22445, 36.11095)
6022,1517893796,1515786278,1708525438,0,-72,193.68,256,721,"Charlotte-Concord-Gastonia, NC-SC",c(-80.72999, 35.307365)
6376,1517088910,1516850243,1708525309,0,-45,207.27,296,910,"Minneapolis-St. Paul-Bloomington, MN-WI",c(-93.368, 44.741486)
6546,1559000947,1516935016,1708525377,1,-44,341.22,244,593,"Chicago-Naperville-Elgin, IL-IN",c(-87.6818, 41.856613)
6556,1518719427,1516935500,1708525406,0,-64,199.37,309,1041,"Akron, OH",c(-81.578476, 40.988945)
6750,1519081415,1517342558,1708525413,0,-77,25.27,1617,16,"Mobile, AL",c(-88.05836, 30.677902)
6752,1553133754,1517342572,1708525406,0,-71,400.62,335,18,"Houston-Pasadena-The Woodlands, TX",c(-95.30876, 29.71706)
6754,1518633828,1517342887,1708525409,0,-69,40.93,369,147,"Mobile, AL",c(-88.19581, 30.636057)
7002,1577887290,1517447749,1708525421,0,-64,822.32,355,1388,"Wausau, WI",c(-89.5995, 45.0005)
7314,1518556783,1517976196,1708525406,0,-77,6.87,607,916,"Minneapolis-St. Paul-Bloomington, MN-WI",c(-93.25998, 45.138016)
7488,1526410001,1518231883,1708525393,0,-44,205.55,392,20,"Corpus Christi, TX",c(-97.09614, 28.01262)
7506,1593352327,1518234275,1708525453,0,-67,14.1,328,10,"Miami-Fort Lauderdale-West Palm Beach, FL",c(-80.09758, 26.967468)
7552,1602175924,1518295412,1708525431,0,-64,914.63,466,576,"Davenport-Moline-Rock Island, IA-IL",c(-90.62441, 41.5127)
7594,1519085660,1518308118,1708525391,0,-78,54.17,333,788,"Rockford, IL",c(-89.201126, 42.463795)
7660,1519193440,1518457130,1708525389,0,-61,295.08,316,761,"Columbus, OH",c(-82.95169, 39.96064)
7768,1632773099,1518653969,1708525371,0,-77,962.48,1419,633,"Chicago-Naperville-Elgin, IL-IN",c(-88.59631, 41.510944)
7772,1549313481,1518653989,1708525482,0,-68,307.37,273,912,"Ann Arbor, MI",c(-83.7624, 42.25261)
7920,1680813015,1519421324,1708525402,0,-55,382.82,288,592,"Chicago-Naperville-Elgin, IL-IN",c(-87.69537, 41.849483)
8376,1686241079,1520560107,1708525434,0,-80,776.77,260,1478,"Sioux Falls, SD-MN",c(-96.695305, 43.50486)
8506,1521156143,1520708349,1708525383,1,-45,88.77,340,7,"Miami-Fort Lauderdale-West Palm Beach, FL",c(-80.10983, 26.93638)
8532,1560021735,1520714895,1708525458,1,-80,14.65,344,1431,"San Antonio-New Braunfels, TX",c(-98.611465, 29.811445)
8536,1529520850,1520714907,1708525463,1,-59,493.03,225,1427,"San Antonio-New Braunfels, TX",c(-98.611855, 29.811413)
8540,1529521285,1520714919,1708525397,1,-40,552.92,230,1425,"San Antonio-New Braunfels, TX",c(-98.6119, 29.811184)
8542,1559635533,1520715390,1708525468,1,-69,914.53,222,1430,"San Antonio-New Braunfels, TX",c(-98.611626, 29.810911)
8554,1529521643,1520883565,1708525380,0,-87,862.75,269,1431,"San Antonio-New Braunfels, TX",c(-98.61121, 29.811457)
8562,1529521839,1520883625,1708525390,0,-76,1042.05,243,1427,"San Antonio-New Braunfels, TX",c(-98.61182, 29.8115)
8622,1642827290,1520971472,1708525444,1,-44,264.95,676,23,"Jacksonville, FL",c(-81.5629, 30.098486)
8694,1685926838,1521047838,1708525442,0,-56,639.17,242,502,"St. Louis, MO-IL",c(-90.31583, 38.662155)
9010,1561505879,1521856019,1708525473,0,-92,12.3,246,1114,"Pittsburgh, PA",c(-79.842545, 40.415096)
9020,1595783674,1521856145,1708525478,0,-72,1027.3,358,1146,"Pittsburgh, PA",c(-79.92346, 40.421337)
9038,1525703002,1521856441,1708525408,0,-70,175.18,517,1036,"Pittsburgh, PA",c(-79.91504, 40.44501)
9042,1568316525,1521860005,1708525461,1,-47,115.35,283,1175,"Pittsburgh, PA",c(-80.04751, 40.304237)
9044,1526162069,1521860011,1708525458,0,-85,500.68,256,1011,"Pittsburgh, PA",c(-79.90994, 40.4344)
9060,1615235725,1521860073,1708525383,1,-73,280.3,1625,1138,"Pittsburgh, PA",c(-79.94603, 40.65718)
9504,1693434748,1522177439,1708525399,0,-53,242.87,876,842,"Dallas-Fort Worth-Arlington, TX",c(-97.008156, 32.4197)
9542,1642284447,1522699241,1708525422,0,-57,264.93,716,23,"Jacksonville, FL",c(-81.5629, 30.098486)
9738,1531176156,1523399087,1708525443,0,-73,558.83,1106,1041,"Kansas City, MO-KS",c(-94.72648, 39.000076)
9816,1525039498,1523551784,1708525488,0,-56,903.6,318,923,"Minneapolis-St. Paul-Bloomington, MN-WI",c(-93.0564, 44.94585)
9858,1662925649,1523556058,1708525415,0,-70,902.12,229,1154,"Pittsburgh, PA",c(-79.87546, 40.38908)
9888,1568150893,1523558796,1708525404,1,-53,781.32,209,766,"Pittsburgh, PA",c(-80.01064, 40.454628)
9896,1524799300,1523558805,1708525471,0,-45,103.13,277,920,"Pittsburgh, PA",c(-79.8962, 40.44105)
9900,1526751916,1523558830,1708525448,0,-67,291.43,271,828,"Pittsburgh, PA",c(-79.88437, 40.497307)
9912,1625522330,1523561359,1708525446,0,-74,661.82,310,1144,"San Antonio-New Braunfels, TX",c(-98.14714, 29.878283)
10216,1526002823,1525385612,1708525443,0,-60,128.38,344,724,"Racine-Mount Pleasant, WI",c(-87.89455, 42.753536)
10894,1591902086,1526504909,1708525391,0,-71,688.67,518,736,"Champaign-Urbana, IL",c(-88.315544, 40.09578)
10978,1607031194,1526749106,1708525421,1,-61,678.13,330,902,"Minneapolis-St. Paul-Bloomington, MN-WI",c(-93.05569, 44.94863)
11002,1662925659,1526754549,1708525376,0,-74,165.38,275,1188,"Cleveland, OH",c(-81.796585, 41.01832)
11048,1527807527,1527014290,1708525422,0,-54,635.23,284,1097,"Akron, OH",c(-81.55693, 41.058475)
11134,1529977499,1527023589,1708525456,0,-60,1151.67,236,886,"Minneapolis-St. Paul-Bloomington, MN-WI",c(-93.32235, 44.92776)
11838,1550500969,1528840883,1708525470,1,-48,976.18,441,727,"Columbus, OH",c(-83.01782, 39.996513)
11840,1551395458,1528840933,1708525485,1,-49,815.37,403,727,"Columbus, OH",c(-83.01818, 39.996437)
11910,1624544707,1528928645,1708525436,0,-57,89.55,468,554,"Little Rock-North Little Rock-Conway, AR",c(-92.42449, 34.751293)
12575,1535218211,1530819396,1708525462,0,-69,216.35,220,726,"Indianapolis-Carmel-Greenwood, IN",c(-86.14421, 39.745815)
12577,1535139988,1530819410,1708525421,0,-67,529.17,241,728,"Indianapolis-Carmel-Greenwood, IN",c(-86.1404, 39.757633)
12587,1583776248,1530898638,1708525440,0,-78,1100.87,503,715,"Indianapolis-Carmel-Greenwood, IN",c(-86.16557, 39.84677)
12647,1540671081,1530908872,1708525461,0,-51,470.87,250,768,"Indianapolis-Carmel-Greenwood, IN",c(-86.11501, 39.784325)
12697,1706823400,1531172083,1708525420,0,-75,77.53,309,922,"Winston-Salem, NC",c(-80.14643, 36.050777)
12759,1539281253,1531258886,1708525426,0,-73,783.55,309,869,"Greensboro-High Point, NC",c(-79.83469, 36.130077)
12835,1559244876,1531329320,1708525396,0,-69,982.45,259,878,"Charlotte-Concord-Gastonia, NC-SC",c(-81.03457, 35.527523)
12867,1531528594,1531334578,1708525414,0,-61,321.3,217,685,"Charlotte-Concord-Gastonia, NC-SC",c(-80.83838, 35.03867)
12959,1595975477,1531422258,1708525411,0,-68,712.27,326,682,"Cleveland, OH",c(-81.70841, 41.484917)
12969,1532134007,1531422346,1708525486,0,-67,476.83,283,612,"Dallas-Fort Worth-Arlington, TX",c(-96.85915, 32.991665)
12985,1555352782,1531427735,1708525404,0,-79,138.52,358,1111,"Pittsburgh, PA",c(-80.01803, 40.082348)
12999,1533250132,1531427821,1708525487,0,-70,256.33,278,746,"Nashville-Davidson--Murfreesboro--Franklin, TN",c(-86.840126, 36.37261)
13031,1533066153,1531432767,1708525470,0,-71,618.83,260,391,"Evansville, IN",c(-87.89055, 37.94211)
14009,1568315759,1533250446,1708525442,1,-43,511.8,309,1194,"Pittsburgh, PA",c(-79.7292, 40.31308)
14095,1536863806,1533328267,1708525473,0,-71,949.17,680,1157,"Detroit-Warren-Dearborn, MI",c(-83.32571, 42.879284)
14111,1705612823,1533333089,1708525452,0,-70,135.62,251,949,"Columbus, OH",c(-83.00999, 40.147556)
14549,1681479355,1534272132,1708525375,0,-80,62.82,466,689,"Chattanooga, TN-GA",c(-85.30672, 35.04535)
14555,1681479330,1534272174,1708525464,0,-72,263.72,263,733,"Chattanooga, TN-GA",c(-85.30474, 35.045963)
14561,1681479179,1534272273,1708525374,0,-65,971.13,237,684,"Chattanooga, TN-GA",c(-85.29873, 35.042393)
14911,1536449407,1536084919,1708525421,1,-48,232.63,356,880,"San Antonio-New Braunfels, TX",c(-98.554, 29.546415)
15025,1536446788,1536174061,1708525419,0,-63,232.63,366,880,"San Antonio-New Braunfels, TX",c(-98.55403, 29.546413)
15197,1656226815,1536600238,1708525439,0,-53,472.73,264,701,"Davenport-Moline-Rock Island, IA-IL",c(-90.465965, 41.578606)
15919,1538858447,1537551010,1708525425,0,-73,597.18,255,571,"Nashville-Davidson--Murfreesboro--Franklin, TN",c(-86.59826, 36.375168)
16271,1635954497,1537884569,1708525436,0,-63,59.28,359,605,"Dallas-Fort Worth-Arlington, TX",c(-97.08413, 32.882004)
16289,1606850695,1537884690,1708525455,0,-62,104.42,3106,0,"New Orleans-Metairie, LA",c(-89.98874, 29.954208)
16317,1559141657,1537903420,1708525444,0,-82,213.22,999,25,"North Port-Bradenton-Sarasota, FL",c(-82.5083, 27.290497)
16359,1606850897,1537904249,1708525403,0,-77,1097.17,2784,16,"Slidell-Mandeville-Covington, LA",c(-89.74581, 30.288101)
16363,1606850965,1537984573,1708525410,0,-77,305.58,2895,7,"Houma-Bayou Cane-Thibodaux, LA",c(-90.68799, 29.570116)
16383,1606851856,1537984761,1708525375,0,-72,1137.83,2795,12,"New Orleans-Metairie, LA",c(-90.51475, 30.072504)
16385,1606850808,1537984770,1708525418,0,-75,704.87,2437,61,"Baton Rouge, LA",c(-91.03447, 30.552189)
16391,1606850645,1537984819,1708525439,0,-62,1155.43,2276,5,"New Orleans-Metairie, LA",c(-90.08989, 29.873653)
16431,1687645461,1537994216,1708525425,0,-84,42.43,2888,850,"Madison, WI",c(-89.336945, 43.095444)
16437,1575663263,1537994344,1708525480,0,-95,17.2,943,859,"Madison, WI",c(-89.343155, 43.096737)
16439,1610039574,1537994381,1708525475,0,-84,879.5,384,872,"Madison, WI",c(-89.341934, 43.095272)
17087,1641512597,1538518722,1708525466,0,-50,391.2,265,18,"Panama City-Panama City Beach, FL",c(-85.75396, 30.163092)
18155,1662044766,1540851857,1708525387,1,-62,1046.87,193,796,"Birmingham, AL",c(-86.781364, 33.475433)
18499,1689886252,1541272524,1708016311,0,-61,0.07,2009,1,"Miami-Fort Lauderdale-West Palm Beach, FL",c(-80.37699, 25.760427)
19117,1612027215,1542226029,1708525417,1,-78,924.6,256,675,"Chicago-Naperville-Elgin, IL-IN",c(-87.94134, 42.06865)
20213,1544799726,1543438689,1708525379,0,-60,970.75,283,44,"Tampa-St. Petersburg-Clearwater, FL",c(-82.70634, 28.01654)
20507,1585238543,1543600107,1708525474,0,-75,353.55,394,5,"New Orleans-Metairie, LA",c(-90.084694, 29.928965)
20511,1686171274,1543600135,1708525446,0,-78,1175.95,240,1019,"Pittsburgh, PA",c(-79.8661, 40.509586)
20521,1558727467,1543616598,1708525429,0,-74,44.47,273,759,"Charlotte-Concord-Gastonia, NC-SC",c(-80.71496, 35.277683)
20531,1622925624,1543616647,1708525380,0,-75,121.27,302,620,"Kankakee, IL",c(-88.14626, 41.109455)
20809,1551024591,1544050728,1708525419,0,-88,523.05,443,669,"Charlotte-Concord-Gastonia, NC-SC",c(-80.823494, 35.194134)
21179,1544473241,1544471539,1708525469,0,-71,371.68,297,891,"Minneapolis-St. Paul-Bloomington, MN-WI",c(-93.284615, 44.965965)
21247,1689018048,1544492168,1708525476,0,-77,70.27,286,2176,"Asheville, NC",c(-82.51733, 35.371716)
21289,1670933447,1544500456,1708525457,0,-75,1099.95,224,1025,"Atlanta-Sandy Springs-Roswell, GA",c(-84.3429, 33.963406)
21307,1545528227,1544500539,1708525427,1,-61,300.6,368,716,"Cleveland, OH",c(-81.92646, 41.449047)
21345,1551320511,1544502126,1708525448,0,-60,584.87,271,1231,"Fayetteville-Springdale-Rogers, AR",c(-94.201675, 36.4621)
21483,1544991797,1544562196,1708525481,0,-58,95.82,366,930,"Austin-Round Rock-San Marcos, TX",c(-97.94825, 30.572351)
22651,1593305713,1544909329,1708525377,0,-67,162.08,235,699,"Austin-Round Rock-San Marcos, TX",c(-97.850235, 30.141853)
22771,1545754825,1544916501,1708525397,0,-69,177.03,358,993,"Minneapolis-St. Paul-Bloomington, MN-WI",c(-93.594376, 44.901127)
22851,1545432128,1545077132,1708525488,1,-63,249.33,227,1180,"Pittsburgh, PA",c(-80.18944, 40.2467)
22937,1638287826,1545155021,1708525403,0,-62,496.43,366,706,"Davenport-Moline-Rock Island, IA-IL",c(-90.5878, 41.530098)
23251,1545682096,1545250749,1708525439,0,-74,89.23,387,430,"Little Rock-North Little Rock-Conway, AR",c(-92.433, 34.615326)
23355,1546909600,1545257203,1708525418,0,-82,629.68,195,878,"Atlanta-Sandy Springs-Roswell, GA",c(-84.35494, 33.817436)
23433,1545682043,1545259793,1708525413,1,-41,89.2,404,430,"Little Rock-North Little Rock-Conway, AR",c(-92.433, 34.615326)
23533,1678546525,1545929787,1708525416,0,-55,322.52,271,1163,"Pittsburgh, PA",c(-79.7487, 40.43943)
23538,1635430953,1545929862,1708525410,0,-66,152.15,588,1051,"Pittsburgh, PA",c(-79.619965, 40.233276)
23989,1562026026,1546559398,1708525464,0,-57,723.42,283,863,"Minneapolis-St. Paul-Bloomington, MN-WI",c(-93.27751, 45.112064)
24105,1566249287,1546987037,1708525411,1,-58,288.18,585,955,"Kansas City, MO-KS",c(-94.49076, 38.95321)
24245,1548722193,1547069201,1708525482,0,-46,174.23,293,6,"Miami-Fort Lauderdale-West Palm Beach, FL",c(-80.09775, 26.240831)
24269,1547684661,1547069265,1708525464,0,-69,1012.22,302,3299,"Lubbock, TX",c(-101.94548, 33.51593)
24939,1568144188,1547665137,1708525456,1,-81,134.58,2618,767,"Pittsburgh, PA",c(-79.88526, 40.29814)
25019,1631492758,1547678646,1708525416,1,-57,456.25,467,2652,"Asheville, NC",c(-82.53582, 35.61342)
25135,1556124176,1547754974,1708525401,1,-71,1185.97,329,598,"Detroit-Warren-Dearborn, MI",c(-83.09825, 42.320812)
25383,1597086341,1547828675,1708525468,0,-76,116.37,255,1093,"Pittsburgh, PA",c(-79.92948, 40.44193)
25389,1567807955,1547828689,1708525470,0,-70,455.83,234,988,"Pittsburgh, PA",c(-79.908615, 40.446)
25687,1615266222,1548358071,1708525404,1,-52,50.28,1916,872,"Pittsburgh, PA",c(-79.9113, 40.42579)
25703,1568144598,1548358152,1708525448,1,-66,338.63,267,780,"Pittsburgh, PA",c(-79.88423, 40.29812)
25743,1561826007,1548450981,1708525394,0,-63,122.18,311,79,"Monroe, LA",c(-92.00411, 32.54484)
25767,1557265096,1548451081,1708524425,0,-90,0.2,null,684,"Louisville/Jefferson County, KY-IN",c(-85.550156, 38.2074)
25831,1606849594,1548459574,1708525474,0,-75,151.27,1910,2,"Houma-Bayou Cane-Thibodaux, LA",c(-90.5365, 29.639612)
25835,1604428679,1548459580,1708525402,0,-59,496.47,465,705,"Davenport-Moline-Rock Island, IA-IL",c(-90.58771, 41.530087)
25865,1565290261,1548459666,1708525409,0,-54,491.52,272,1135,"Pittsburgh, PA",c(-79.93311, 40.516006)
25999,1554853637,1549304400,1708525444,0,-66,1052.57,238,133,"Houston-Pasadena-The Woodlands, TX",c(-95.494644, 30.053808)
26259,1612887232,1549397605,1708525460,0,-59,937.1,223,708,"Pittsburgh, PA",c(-80.085, 40.502377)
26339,1570550160,1549570382,1708525383,0,-80,204.63,350,835,"Pittsburgh, PA",c(-79.790794, 40.542908)
26385,1668637779,1549574901,1708525452,0,-68,673.55,262,773,"Pittsburgh, PA",c(-79.88476, 40.298096)
26453,1549988887,1549944579,1708525476,0,-72,15.6,640,965,"Pittsburgh, PA",c(-79.85827, 40.34478)
26617,1621182046,1550089004,1708468202,1,-84,0.18,1030,764,"Austin-Round Rock-San Marcos, TX",c(-98.03287, 30.361105)
26659,1554579539,1550089087,1708525477,0,-90,233.63,510,56,"Houston-Pasadena-The Woodlands, TX",c(-95.41395, 29.76556)
26803,1662925785,1550188550,1708525431,0,-75,790.75,405,6,"New Orleans-Metairie, LA",c(-90.02172, 29.957203)
26925,1568145580,1550512246,1708525423,1,-66,677.02,230,987,"Pittsburgh, PA",c(-79.90876, 40.446053)
26949,1689966069,1550593607,1708525444,0,-72,404.72,283,25,"Savannah, GA",c(-81.14318, 31.932499)
27009,1592866168,1550602753,1708525473,1,-81,351.12,323,78,"Houston-Pasadena-The Woodlands, TX",c(-95.585686, 29.73305)
27181,1585582554,1550683406,1708525402,1,-56,533.27,261,769,"Pittsburgh, PA",c(-80.01151, 40.455116)
27183,1569611876,1550683441,1708525369,0,-51,529.27,2155,552,"Austin-Round Rock-San Marcos, TX",c(-97.73697, 30.287216)
27395,1569612532,1550786371,1708525450,0,-58,688.38,2100,530,"Austin-Round Rock-San Marcos, TX",c(-97.73288, 30.285069)
27455,1569613252,1550790150,1708525468,0,-40,703.02,1982,524,"Austin-Round Rock-San Marcos, TX",c(-97.734985, 30.285181)
27463,1569611660,1550790196,1708525422,0,-51,135.22,2004,524,"Austin-Round Rock-San Marcos, TX",c(-97.73345, 30.287292)
27485,1569612433,1550790427,1708525485,0,-76,57.13,204,604,"Austin-Round Rock-San Marcos, TX",c(-97.74024, 30.290632)
27519,1569612938,1551288319,1708525382,0,-53,358.87,2118,547,"Austin-Round Rock-San Marcos, TX",c(-97.73693, 30.28559)
27539,1569612709,1551288559,1708525476,0,-88,856.42,3946,572,"Austin-Round Rock-San Marcos, TX",c(-97.72593, 30.279041)
27547,1569613021,1551288774,1708525422,0,-41,947.17,2016,523,"Austin-Round Rock-San Marcos, TX",c(-97.73466, 30.283525)
27563,1569612354,1551288969,1708525477,0,-82,302.83,319,530,"Austin-Round Rock-San Marcos, TX",c(-97.7371, 30.281025)
27567,1569612612,1551288999,1708525448,0,-54,241.17,3676,555,"Austin-Round Rock-San Marcos, TX",c(-97.73661, 30.28941)
27569,1569611988,1551289015,1708525483,0,-83,183.27,2157,592,"Austin-Round Rock-San Marcos, TX",c(-97.72687, 30.282122)
27571,1569613097,1551289084,1708525380,0,-52,17.3,2031,594,"Austin-Round Rock-San Marcos, TX",c(-97.74001, 30.286663)
27573,1569612854,1551289281,1708525411,0,-54,96.03,2117,525,"Austin-Round Rock-San Marcos, TX",c(-97.73332, 30.277252)
27583,1555105836,1551310763,1708525486,0,-63,354.27,203,1014,"Pittsburgh, PA",c(-79.924225, 40.42523)
27589,1662925798,1551310810,1708525430,0,-82,50.3,2402,18,"Baton Rouge, LA",c(-91.21969, 30.266632)
27629,1554581688,1551311303,1708525451,0,-53,636.9,249,3156,"Lubbock, TX",c(-101.781654, 33.53833)
27673,1662925800,1551367103,1708525473,0,-70,737.5,291,944,"Pittsburgh, PA",c(-79.9225, 40.453293)
27683,1553797802,1551367320,1708525416,0,-70,944.4,227,957,"Pittsburgh, PA",c(-79.93618, 40.4611)
27689,1606851762,1551367344,1708525484,0,-89,743.43,2104,11,"Houma-Bayou Cane-Thibodaux, LA",c(-90.816795, 29.805338)
27753,1686321091,1551369767,1708525477,0,-83,103.15,232,883,"Pittsburgh, PA",c(-79.898476, 40.43233)
27821,1568203731,1551480877,1708525453,0,-75,6.43,289,45,"Houston-Pasadena-The Woodlands, TX",c(-95.370056, 29.77074)
27889,1567887131,1551712955,1708525465,0,-58,335.6,558,583,"Detroit-Warren-Dearborn, MI",c(-83.14394, 42.279324)
27891,1617737187,1551712957,1708525418,0,-59,977.67,323,437,"Dallas-Fort Worth-Arlington, TX",c(-96.865845, 32.777695)
27905,1602626634,1551713013,1708525447,0,-57,620.77,268,27,"Houston-Pasadena-The Woodlands, TX",c(-95.113846, 29.790651)
